Nome,Framework,Setor,Descrição (O que é),Aplicações Práticas (Para que serve)
"Meeting Assistant Flow","CrewAI","Produtividade","Agente que gerencia pautas de reuniões, convites e resumos pós-chamada.","Agendar compromissos e garantir que todos recebam a ata de reunião resumida automaticamente."
"Self Evaluation Loop Flow","CrewAI","RH","Fluxo de agentes que interagem com o funcionário para coletar autoavaliações.","Otimizar o processo anual de avaliação de desempenho de grandes equipes."
"Lead Score Flow","CrewAI","Vendas","Analisa o comportamento de novos contatos e pontua quem tem mais chance de comprar.","Direcionar apenas os contatos quentes e qualificados para a equipe de vendas humana fechar negócio."
"Marketing Strategy Generator","CrewAI","Marketing","Gera campanhas de marketing completas analisando a concorrência e público-alvo.","Fornecer ideias de posts, anúncios e posicionamento de marca em minutos."
"Job Posting Generator","CrewAI","RH","Escreve anúncios de vagas de emprego atraentes baseando-se nos requisitos técnicos.","Automatizar a redação de vagas para portais como LinkedIn e Gupy."
"Recruitment Workflow","CrewAI","RH","Fluxo multiagente completo que realiza triagem, agendamento de entrevistas e feedback.","Automatizar a burocracia do recrutamento ponta a ponta."
"Match Profile to Positions","CrewAI","RH","Compara detalhadamente o perfil técnico do candidato com a descrição exata da vaga.","Evitar entrevistas com candidatos fora do perfil desejado."
"Instagram Post Generator","CrewAI","Marketing","Agente focado em escrever a legenda ideal e criar o roteiro visual para posts.","Manter a constância de postagens de marcas ou influenciadores digitais."
"Landing Page Generator","CrewAI","Webdev","Escreve a estrutura HTML e os textos persuasivos (copy) de uma página de vendas.","Criar páginas de captação de clientes de forma extremamente rápida."
"Game Builder Crew","CrewAI","Games","Equipe de agentes programadores e designers que desenvolvem um jogo simples do zero.","Desenvolvimento ágil de protótipos de jogos em Python para testes rápidos."
"Stock Analysis Tool","CrewAI","Finanças","Ferramenta de múltiplos agentes para análise fundamentalista de ações na bolsa.","Auxiliar investidores a tomarem decisões de compra baseadas em relatórios automatizados."
"Trip Planner / Surprise Trip Planner","CrewAI","Turismo","Planeja viagens tradicionais ou cria roteiros secretos sob medida para presentes.","Agências de turismo automatizarem o envio de propostas de viagens personalizadas."
"Write a Book with Flows","CrewAI","Escrita","Fluxo estruturado de agentes para escrever capítulos de livros mantendo a coerência.","Apoiar escritores no bloqueio criativo e na produção acelerada de e-books."
"Screenplay Writer","CrewAI","Escrita","Agente especializado nas formatações e regras de roteiros cinematográficos profissionais.","Criar primeiros esboços de curtas, comerciais e roteiros de vídeos publicitários."
"Markdown Validator","CrewAI","Produtividade","Lê arquivos de documentação técnica em Markdown e avisa se há links quebrados ou má formatação.","Garantir que a documentação técnica de softwares esteja perfeita antes do lançamento."
"Meta Quest Knowledge","CrewAI","Suporte","Base de conhecimento ativa que responde dúvidas técnicas sobre dispositivos Meta Quest.","Suporte especializado para desenvolvedores de realidade virtual."
"NVIDIA Models Integration","CrewAI","Tecnologia","Agente configurado para tirar o máximo proveito das APIs de IA hospedadas na infraestrutura NVIDIA.","Processamento de alta velocidade de LLMs e tarefas de inteligência computacional pesada."
"Prep for a Meeting","CrewAI","Produtividade","Pesquisa os participantes da reunião na web e monta um briefing sobre o assunto que será tratado.","Chegar em reuniões comerciais sabendo tudo sobre o cliente de antemão."
"CrewAI + LangGraph Integration","CrewAI","Integração","Exemplo prático de como integrar a facilidade do CrewAI com o controle rígido do LangGraph.","Construir sistemas de IA de nível empresarial extremamente robustos."
"Task Solving with Code Gen","AutoGen","Programação","Agente que resolve qualquer problema lógico escrevendo, testando e depurando um código de programação.","Resolver cálculos matemáticos pesados ou criar scripts de automação sob demanda."
"QA with Retrieval / Qdrant","AutoGen","Tecnologia","Agente de respostas baseado em inteligência vetorial (Qdrant) para bases de dados imensas.","Consultar manuais industriais gigantescos e obter respostas exatas em segundos."
"Group Chat Solver","AutoGen","Colaboração","Sala de conversa virtual com mais de 3 agentes autônomos trabalhando juntos com um líder de equipe.","Resolução de problemas de negócios complexos que exigem discussões de múltiplas áreas."
"Data Visualization by Group Chat","AutoGen","Dados","Grupo de agentes que recebe dados brutos e gera automaticamente gráficos e PDFs formatados.","Gerar relatórios de vendas e desempenho de marketing sem precisar mexer no Excel ou PowerBI."
"Inner-Monologue via SocietyOfMind","AutoGen","Tecnologia","Agente que discute consigo mesmo, levantando hipóteses e refutando-as antes de responder ao usuário.","Tarefas científicas e lógicas complexas que exigem extremo rigor e evitam erros."
"Sequential Multi-Agent Chats","AutoGen","Processos","Agentes que passam a tarefa de um para o outro em uma esteira sequencial automatizada.","Automação de processos administrativos lineares e rígidos em empresas."
"Nested Chats Solver","AutoGen","Processos","Agentes que conseguem ""chamar reuniões privadas"" internas para decidir algo antes de voltar ao chat principal.","Processos com etapas de compliance, verificação de dados e aprovações rígidas."
"OptiGuide Supply Chain","AutoGen","Logística","Agente inteligente com salvaguardas que otimiza cadeias de suprimentos sem errar cálculos.","Calcular a rota logística de menor custo para frotas de distribuição."
"Conversational Chess Agent","AutoGen","Games","Agente que joga xadrez por meio de conversação textual interpretando tabuleiros e regras.","Demonstrar inteligência de tomada de decisões com regras restritivas e lógica pura."
"Automated Continual Learning","AutoGen","Machine Learning","Agente capaz de aprender com as interações diárias e salvar os novos conhecimentos para sempre.","Sistemas que se adaptam e ficam cada vez mais inteligentes conforme o uso operacional."
"AutoAnny Discord bot","AutoGen","Comunicação","Bot de Discord completo que utiliza a autonomia do AutoGen para atuar no chat.","Engajamento de comunidade e moderação inteligente em servidores de games ou empresas."
"Web Search: Function Call","AutoGen","Busca","Agente que possui a habilidade de abrir navegadores e pesquisar no Google de forma ativa.","Trazer fatos atualizados do dia de hoje para responder a perguntas que dependem do presente."
"Whisper Audio Agent","AutoGen","Áudio","Agente integrado ao Whisper capaz de entender ordens por voz, transcrever e traduzir áudios.","Interfaces ativadas por voz para comandos industriais ou assistência pessoal."
"Constrained Responses via Guidance","AutoGen","Tecnologia","Garante que o robô responda exatamente no formato desejado (JSON, sim/não) sem fugir das regras.","Integração de IAs com sistemas de TI legados que não toleram respostas livres."
"SQL Spider Agent","AutoGen","Dados","Agente de conversão de linguagem natural em código SQL complexo testando o resultado no banco.","Permitir que diretores de empresas façam perguntas ao banco de dados sem saber programar."
"Web Scraping with Apify","AutoGen","Busca","Robô de extração de dados em massa integrado com a API da Apify.","Extrair listagens de preços, dados de redes sociais ou concorrência em grande escala."
"Spider Domain Crawler","AutoGen","Busca","Agente que varre um site inteiro (todas as páginas) de forma recursiva.","Copiar todas as informações e documentações de um produto ou empresa para treinar uma IA interna."
"AgentEval Framework","AutoGen","Qualidade","Sistema que cria agentes específicos para testarem o sistema de IA principal buscando falhas.","Garantir a segurança e qualidade antes de lançar um chatbot ou agente em produção."
"AgentOps Observability","AutoGen","Gestão","Painel e agente para auditoria de chamadas de IA, erros técnicos e custo por token em tempo real.","Evitar gastos abusivos com APIs e identificar instabilidades no sistema."
"Agno Support Agent / Assist","Agno","Suporte","Robô especialista que conhece toda a documentação da Agno e ajuda a escrever códigos usando o framework.","Auxiliar programadores a desenvolverem novos agentes 10x mais rápido."
"YouTube Agent","Agno","Conteúdo","Agente que assiste a vídeos do YouTube, transcreve e extrai os principais timestamps e temas.","Criar resumos de aulas online, palestras ou podcasts em texto rapidamente."
"Finance Agent / Thinking Finance","Agno","Finanças","Robô analista de mercado com acesso aos balanços históricos de empresas da bolsa de valores.","Geração de relatórios profundos sobre a saúde financeira de empresas listadas na bolsa."
"Study Partner","Agno","Educação","Assistente pessoal de estudos que organiza materiais e cria rotinas de aprendizado.","Apoiar vestibulandos, concurseiros e estudantes universitários a organizarem suas rotinas."
"Shopping Partner Agent","Agno","E-commerce","Agente inteligente de compras que compara preços e avaliações de produtos na Amazon e similares.","Achar o melhor custo-benefício de um produto de forma automatizada."
"Research Scholar Agent","Agno","Educação","Pesquisador acadêmico que vasculha bases de artigos científicos reais e gera resumos com citações.","Escrever artigos e relatórios técnicos baseados em literatura científica validada."
"Recipe Creator","Agno","Culinária","Cria receitas personalizadas com base nos ingredientes que o usuário tem na despensa.","Evitar desperdício de alimentos fornecendo ideias de pratos rápidos e saudáveis."
"Readme Generator Agent","Agno","Programação","Lê a pasta de um código de programação e escreve um arquivo de apresentação (README.md) perfeito.","Manter repositórios de software documentados e profissionais sem esforço manual."
"Movie Recommendation Agent","Agno","Entretenimento","Dá sugestões de filmes com base no humor do usuário, atores preferidos e notas do IMDB.","Plataformas de streaming engajarem usuários recomendando os melhores títulos."
"Media Trend Analysis Agent","Agno","Marketing","Analisa o que está em alta no TikTok, Reels e X para prever as próximas tendências de vídeo.","Dar ideias de conteúdos virais de forma antecipada para influenciadores e marcas."
"Legal Document Analysis Agent","Agno","Jurídico","Análise profunda de PDFs jurídicos gerando resumos executivos focados em riscos.","Revisão ultra rápida de petições, acordos e termos de serviço em massa."
"DeepKnowledge Agent","Agno","Pesquisa","Realiza buscas repetitivas em profundidade, desmembrando uma dúvida em sub-questões.","Pesquisas científicas, médicas ou de mercado extremamente aprofundadas."
"MCP Airbnb Agent","Agno","Turismo","Utiliza o protocolo MCP para buscar acomodações no Airbnb integrando filtros de metrô e home office.","Encontrar a melhor hospedagem para nômades digitais baseando-se em logística."
"Chatbot Simulation Evaluation","LangGraph","Qualidade","Simula interações de usuários virtuais com o seu chatbot para ver se ele mantém a qualidade em estresse.","Homologação e auditoria de robôs de atendimento antes de irem para o público real."
"Information Gathering via Prompting","LangGraph","Triagem","Fluxo rígido que só encerra a conversa quando coletou todos os dados obrigatórios do cliente.","Formulários interativos por chat (ex: contratação de seguros, empréstimos, matrículas)."
"Code Assistant with LangGraph","LangGraph","Programação","Escreve códigos e possui etapas rigorosas de auto-correção, rodando testes locais até estar 100% livre de erros.","Criação de APIs estáveis e rotinas de backend sem intervenção de programadores."
"Customer Support Agent","LangGraph","Suporte","Agente que resolve reclamações de clientes de forma extremamente profissional seguindo regras da empresa.","Reduzir a fila de suporte humano de nível 1 em empresas de telefonia, varejo ou SaaS."
"Extraction with Retries","LangGraph","Dados","Extrai dados de textos bagunçados e, se faltar algo ou vier inválido, tenta de novo ajustando os prompts.","Transformar e-mails de clientes em chamados técnicos perfeitamente categorizados."
"Hierarchical Agent Teams / Supervisor","LangGraph","Processos","Estrutura organizacional onde um supervisor distribui as tarefas para subordinados inteligentes.","Orquestrar operações industriais ou de TI complexas com múltiplos subprocessos."
"Plan-and-Execute Agent","LangGraph","Processos","Planeja todos os passos necessários para uma tarefa longa e executa, refletindo a cada etapa se deu certo.","Escrever relatórios industriais anuais complexos, buscando dados em centenas de fontes."
"SQL Agent","LangGraph","Dados","Conversa com o banco de dados SQL executando e validando as consultas para garantir dados exatos.","Criação de dashboards dinâmicos onde você pede os números por voz ou texto."
"Reflection / Reflexion Agent","LangGraph","Qualidade","Fluxo onde um agente escreve e o outro critica rigidamente, repetindo o ciclo até estar perfeito.","Geração de artigos jornalísticos ou redação publicitária de altíssima qualidade."
"Adaptive RAG / Local Adaptive RAG","LangGraph","Busca","Busca inteligente de documentos que decide se a pergunta é simples ou se precisa fazer buscas externas no Google.","Sistemas corporativos de perguntas e respostas que sabem quando o manual interno não é suficiente."
"Corrective RAG (CRAG) / Local CRAG","LangGraph","Busca","Avalia a qualidade dos arquivos encontrados no banco de dados vetorial antes de usar para responder.","Evitar alucinações em sistemas de IA de bancos ou hospitais que exigem 100% de precisão de fatos."
"Self-RAG / Local Self-RAG","LangGraph","Busca","O agente escreve a resposta e avalia a si mesmo se usou dados reais ou se inventou algo, corrigindo-se.","Garantir auditoria e precisão absoluta de respostas sobre manuais de aviação ou engenharia civil."
